entity_a_id,entity_a_source,entity_b_id,entity_b_source,Cannonical_Name,type,entity_a_name,entity_b_name,relation_type
entity_44,OC-ORACLE,entity_95,OC-MYSQL,Customer,table,CUSTOMERS,CUSTOMERS,inter_sub_typed
entity_44,OC-ORACLE,entity_163,OC-SAP,Customer,table,CUSTOMERS,CUSTOMER,inter_sub_typed
entity_95,OC-MYSQL,entity_163,OC-SAP,Customer,table,CUSTOMERS,CUSTOMER,inter_sub_typed
entity_45,OC-ORACLE,entity_96,OC-MYSQL,Customer ID,attribute,CUSTOMER ID,CUSTOMER NUMBER,inter_identical
entity_45,OC-ORACLE,entity_164,OC-SAP,Customer ID,attribute,CUSTOMER ID,CUSTOMER ID,inter_identical
entity_96,OC-MYSQL,entity_164,OC-SAP,Customer ID,attribute,CUSTOMER NUMBER,CUSTOMER ID,inter_identical
entity_47,OC-ORACLE,entity_98,OC-MYSQL,Customer Full Name,attribute,FULL NAME,CONTACT LASTNAME,inter_sub_typed
entity_47,OC-ORACLE,entity_99,OC-MYSQL,Customer Full Name,attribute,FULL NAME,CONTACT FIRST NAME,inter_sub_typed
entity_97,OC-MYSQL,entity_168,OC-SAP,Customer Coporate Name,attribute,CUSTOMER NAME,CUSTOMER,inter_identical
entity_103,OC-MYSQL,entity_169,OC-SAP,Customer City,attribute,CITY,CITY NAME,inter_identical
entity_106,OC-MYSQL,entity_170,OC-SAP,Customer Country,attribute,COUNTRY,COUNTRY NAME,inter_identical
entity_46,OC-ORACLE,entity_100,OC-MYSQL,Customer Contact,attribute,EMAIL ADDRESS,PHONE,inter_sub_typed
entity_44,OC-ORACLE,entity_76,OC-ORACLE,Customer Satelite Join Shipment,table,CUSTOMERS,SHIPMENTS,intra_joined
entity_45,OC-ORACLE,entity_79,OC-ORACLE,Customer Satelite Join Shipment,attribute,CUSTOMER ID,CUSTOMER ID,intra_joined
entity_76,OC-ORACLE,entity_95,OC-MYSQL,Customer Shipment,table,SHIPMENTS,CUSTOMERS,inter_sub_typed
entity_76,OC-ORACLE,entity_163,OC-SAP,Customer Shipment,table,SHIPMENTS,CUSTOMER,inter_sub_typed
entity_79,OC-ORACLE,entity_96,OC-MYSQL,Customer ID Shipments,attribute,CUSTOMER ID,CUSTOMER NUMBER,inter_sub_typed
entity_79,OC-ORACLE,entity_164,OC-SAP,Customer ID Shipments,attribute,CUSTOMER ID,CUSTOMER ID,inter_sub_typed
entity_80,OC-ORACLE,entity_101,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,ADDRESS LINE 1,inter_sub_typed
entity_80,OC-ORACLE,entity_102,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,ADDRESS LINE 2,inter_sub_typed
entity_80,OC-ORACLE,entity_103,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,CITY,inter_sub_typed
entity_80,OC-ORACLE,entity_104,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,STATE,inter_sub_typed
entity_80,OC-ORACLE,entity_105,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,POSTAL CODE,inter_sub_typed
entity_80,OC-ORACLE,entity_106,OC-MYSQL,Customer Address,attribute,DELIVERY ADDRESS,COUNTRY,inter_sub_typed
entity_66,OC-ORACLE,entity_152,OC-MYSQL,Products,table,PRODUCTS,PRODUCTS,inter_sub_typed
entity_66,OC-ORACLE,entity_172,OC-SAP,Products,table,PRODUCTS,PRODUCT,inter_sub_typed
entity_152,OC-MYSQL,entity_172,OC-SAP,Products,table,PRODUCTS,PRODUCT,inter_sub_typed
entity_67,OC-ORACLE,entity_153,OC-MYSQL,Product ID,attribute,PRODUCT ID,PRODUCT CODE,inter_identical
entity_67,OC-ORACLE,entity_173,OC-SAP,Product ID,attribute,PRODUCT ID,PRODUCT ID,inter_identical
entity_153,OC-MYSQL,entity_173,OC-SAP,Product ID,attribute,PRODUCT CODE,PRODUCT ID,inter_identical
entity_68,OC-ORACLE,entity_154,OC-MYSQL,Product Name,attribute,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_68,OC-ORACLE,entity_176,OC-SAP,Product Name,attribute,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_154,OC-MYSQL,entity_176,OC-SAP,Product Name,attribute,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_69,OC-ORACLE,entity_160,OC-MYSQL,Product Unit / Buy Price,attribute,UNIT PRICE,BUY PRICE,inter_identical
entity_70,OC-ORACLE,entity_158,OC-MYSQL,Product Details,attribute,PRODUCT DETAILS,PRODUCT DESCRIPTION,inter_identical
entity_70,OC-ORACLE,entity_177,OC-SAP,Product Details,attribute,PRODUCT DETAILS,PRODUCT DESCRIPTION,inter_identical
entity_158,OC-MYSQL,entity_177,OC-SAP,Product Details,attribute,PRODUCT DESCRIPTION,PRODUCT DESCRIPTION,inter_identical
entity_155,OC-MYSQL,entity_180,OC-SAP,Product Line Name,attribute,PRODUCT LINE,LINE NAME,inter_identical
entity_152,OC-MYSQL,entity_147,OC-MYSQL,Products Satelite Join Productlines,table,PRODUCTS,PRODUCTLINES,intra_joined
entity_155,OC-MYSQL,entity_148,OC-MYSQL,Products Satelite Join Productlines,attribute,PRODUCT LINE,PRODUCT LINE,intra_joined
entity_66,OC-ORACLE,entity_147,OC-MYSQL,Products Productlines,table,PRODUCTS,PRODUCTLINES,inter_sub_typed
entity_147,OC-MYSQL,entity_172,OC-SAP,Products Productlines,table,PRODUCTLINES,PRODUCT,inter_sub_typed
entity_71,OC-ORACLE,entity_151,OC-MYSQL,Product Image,attribute,PRODUCT IMAGE,IMAGE,inter_sub_typed
entity_149,OC-MYSQL,entity_181,OC-SAP,Product Line Description,attribute,TEXT DESCRIPTION,LINE DESCRIPTION,inter_identical
entity_66,OC-ORACLE,entity_48,OC-ORACLE,Products Satelite Join Inventory,table,PRODUCTS,INVENTORY,intra_joined
entity_67,OC-ORACLE,entity_51,OC-ORACLE,Products Satelite Join Inventory,attribute,PRODUCT ID,PRODUCT ID,intra_joined
entity_51,OC-ORACLE,entity_153,OC-MYSQL,Inventory Product Id,attribute,PRODUCT ID,PRODUCT CODE,inter_sub_typed
entity_51,OC-ORACLE,entity_173,OC-SAP,Inventory Product Id,attribute,PRODUCT ID,PRODUCT ID,inter_sub_typed
entity_48,OC-ORACLE,entity_152,OC-MYSQL,Products Inventory,table,INVENTORY,PRODUCTS,inter_sub_typed
entity_48,OC-ORACLE,entity_172,OC-SAP,Products Inventory,table,INVENTORY,PRODUCT,inter_sub_typed
entity_52,OC-ORACLE,entity_159,OC-MYSQL,Product Inventory,attribute,PRODUCT INVENTORY,QUANTITY IN STOCK,inter_identical
entity_52,OC-ORACLE,entity_183,OC-SAP,Product Inventory,attribute,PRODUCT INVENTORY,CAPACITY,inter_identical
entity_159,OC-MYSQL,entity_183,OC-SAP,Product Inventory,attribute,QUANTITY IN STOCK,CAPACITY,inter_identical
entity_60,OC-ORACLE,entity_134,OC-MYSQL,Orders,table,ORDERS,ORDERS,inter_sub_typed
entity_60,OC-ORACLE,entity_185,OC-SAP,Orders,table,ORDERS,CUSTOMER ORDER,inter_sub_typed
entity_134,OC-MYSQL,entity_185,OC-SAP,Orders,table,ORDERS,CUSTOMER ORDER,inter_sub_typed
entity_61,OC-ORACLE,entity_135,OC-MYSQL,Order ID,attribute,ORDER ID,ORDER NUMBER,inter_identical
entity_61,OC-ORACLE,entity_186,OC-SAP,Order ID,attribute,ORDER ID,ORDER ID,inter_identical
entity_135,OC-MYSQL,entity_186,OC-SAP,Order ID,attribute,ORDER NUMBER,ORDER ID,inter_identical
entity_62,OC-ORACLE,entity_136,OC-MYSQL,Order Datetime,attribute,ORDER DATE TIME,ORDER DATE,inter_sub_typed
entity_63,OC-ORACLE,entity_141,OC-MYSQL,Order Customer ID,attribute,CUSTOMER ID,CUSTOMER NUMBER,inter_identical
entity_63,OC-ORACLE,entity_188,OC-SAP,Order Customer ID,attribute,CUSTOMER ID,CUSTOMER ID,inter_identical
entity_141,OC-MYSQL,entity_188,OC-SAP,Order Customer ID,attribute,CUSTOMER NUMBER,CUSTOMER ID,inter_identical
entity_64,OC-ORACLE,entity_139,OC-MYSQL,Order Status,attribute,ORDER STATUS,STATUS,inter_identical
entity_53,OC-ORACLE,entity_128,OC-MYSQL,Order Items,table,ORDER ITEMS,ORDER DETAILS,inter_sub_typed
entity_60,OC-ORACLE,entity_53,OC-ORACLE,Order Satelite Join Order Items,table,ORDERS,ORDER ITEMS,intra_joined
entity_53,OC-ORACLE,entity_134,OC-MYSQL,Orders Details,table,ORDER ITEMS,ORDERS,inter_sub_typed
entity_53,OC-ORACLE,entity_185,OC-SAP,Orders Details,table,ORDER ITEMS,ORDERS,inter_sub_typed
entity_61,OC-ORACLE,entity_54,OC-ORACLE,Order Satelite Join Order Items,attribute,ORDERS ORDER ID,ORDER ITEMS ORDER ID,intra_joined
entity_134,OC-MYSQL,entity_128,OC-MYSQL,Order Satelite Join  Order Items,table,ORDERS,ORDER DETAILS,intra_joined
entity_135,OC-MYSQL,entity_129,OC-MYSQL,Order Satelite Join Order Items,attribute,"ORDER ORDER NUMBER	","ORDER DETAILS ORDER NUMBER	",intra_joined
entity_60,OC-ORACLE,entity_128,OC-MYSQL,Orders Details,table,ORDERS,ORDER DETAILS,inter_sub_typed
entity_128,OC-MYSQL,entity_185,OC-SAP,Orders Details,table,ORDER DETAILS,CUSTOMER ORDER,inter_sub_typed
entity_54,OC-ORACLE,entity_129,OC-MYSQL,Order Details Order ID,attribute,ORDER ID,ORDER NUMBER,inter_identical
entity_55,OC-ORACLE,entity_133,OC-MYSQL,Order Details Line Item ID,attribute,LINE ITEM ID,ORDER LINE NUMBER,inter_identical
entity_55,OC-ORACLE,entity_175,OC-SAP,Order Details Line Item ID,attribute,LINE ITEM ID,LINE ID,inter_identical
entity_133,OC-MYSQL,entity_175,OC-SAP,Order Details Line Item ID,attribute,ORDER LINE NUMBER,LINE ID,inter_identical
entity_56,OC-ORACLE,entity_130,OC-MYSQL,Order Details Product ID,attribute,PRODUCT ID,PRODUCT CODE,inter_identical
entity_57,OC-ORACLE,entity_132,OC-MYSQL,Order Details Unit Price,attribute,UNIT PRICE,PRICE EACH,inter_identical
entity_57,OC-ORACLE,entity_201,OC-SAP,Order Details Unit Price,attribute,UNIT PRICE,UNIT COST,inter_identical
entity_132,OC-MYSQL,entity_201,OC-SAP,Order Details Unit Price,attribute,PRICE EACH,UNIT COST,inter_identical
entity_58,OC-ORACLE,entity_131,OC-MYSQL,Order Quantity,attribute,QUANTITY,QUANTITY ORDERED,inter_identical
entity_58,OC-ORACLE,entity_204,OC-SAP,Order Quantity,attribute,QUANTITY,QUANTITY ORDERED,inter_identical
entity_131,OC-MYSQL,entity_204,OC-SAP,Order Quantity,attribute,QUANTITY ORDERED,QUANTITY ORDERED,inter_identical
