method,oda,dataset,AUC_F1,AUC_ROC,AUC_PR,AUC_ROC'
Scoping,Z-Score,OC3,51.6433334462607,61.66588529457728,61.933626300870436,64.06760729754527
Scoping,LOF(n=20),OC3,52.516904526504405,63.23644319424911,61.7858236686784,65.9973713451598
Scoping,PCA(v=0.3),OC3,55.235377221554685,67.71370526644787,67.01188076853374,70.33515139221389
Scoping,PCA(v=0.5),OC3,58.266386045068664,73.63650570401626,71.76779478673765,76.39848186327659
Scoping,PCA(v=0.7),OC3,54.40426836543426,66.72136271292389,65.52819582256264,69.22925173613203
Scoping,AE,OC3,56.6102663264159,70.72198781059541,68.77574504572534,73.39092825739768
Collaborative Scoping,PCA,OC3,61.81992774351248,64.26004063134864,76.39303521441573,82.51977905910697
Scoping,Z-Score,OC3-FO,35.52240052078441,55.51058909444987,35.514004682012285,56.3905198269963
Scoping,LOF(n=20),OC3-FO,36.75745140303952,56.149586173320365,35.4946702840208,57.78549360724667
Scoping,PCA(v=0.3),OC3-FO,47.04069786692781,72.88218111002921,57.984590506922906,74.24956073094508
Scoping,PCA(v=0.5),OC3-FO,47.97390549437677,75.55379746835443,55.223128818617504,77.09132539802174
Scoping,PCA(v=0.7),OC3-FO,40.32038163565225,64.11270691333982,39.33665712162573,65.55935783443222
Scoping,AE,OC3-FO,45.81949837802299,71.78675754625122,53.17134866897775,73.14985305235066
Collaborative Scoping,PCA,OC3-FO,50.443661078813534,62.32655793573514,73.51212671440182,93.09002242018151
